id,food,category,kcal,protein_g,fat_g,fiber_g,sodium_mg,potassium_mg,calcium_mg,iron_mg,vitC_mg,gi,contains_gluten,contains_peanut,contains_shellfish,contains_milk,contains_lactose,vegan,vegetarian,carbs_g
284,camarao_rio_grande_grande_cozido,pescados_e_frutos_do_mar,90.0,19.0,1.0,,367.0,102.0,90.0,1.3,,,False,False,True,False,False,False,False,0.0
277,atum_conserva_em_oleo,pescados_e_frutos_do_mar,166.0,26.2,6.0,,362.0,280.0,7.0,1.2,,,False,False,False,False,False,False,False,0.0
280,bacalhau_salgado_refogado,pescados_e_frutos_do_mar,140.0,24.0,3.6,0.0,1256.0,50.0,59.0,0.2,0.0,,False,False,False,False,False,False,False,1.2
301,merluza_file_assado,pescados_e_frutos_do_mar,122.0,26.6,0.9,,120.0,364.0,36.0,0.4,,,False,False,False,False,False,False,False,0.0
315,salmao_file_com_pele_fresco_grelhado,pescados_e_frutos_do_mar,229.0,23.9,14.0,,85.0,384.0,29.0,0.5,,,False,False,False,False,False,False,False,0.0
317,salmao_sem_pele_fresco_grelhado,pescados_e_frutos_do_mar,243.0,26.1,14.5,,96.0,518.0,15.0,0.4,,,False,False,False,False,False,False,False,0.0
318,sardinha_assada,pescados_e_frutos_do_mar,164.0,32.2,3.0,,74.0,574.0,438.0,1.3,,,False,False,False,False,False,False,False,0.0
319,sardinha_conserva_em_oleo,pescados_e_frutos_do_mar,285.0,15.9,24.0,,666.0,367.0,550.0,3.5,,,False,False,False,False,False,False,False,0.0
326,carne_bovina_acem_moido_cozido,carnes_e_derivados,212.0,26.7,10.9,,52.0,256.0,4.0,2.7,,,False,False,False,False,False,False,False,0.0
328,carne_bovina_acem_sem_gordura_cozido,carnes_e_derivados,215.0,27.3,10.9,,56.0,254.0,7.0,2.4,,,False,False,False,False,False,False,False,0.0
332,carne_bovina_bucho_cozido,carnes_e_derivados,133.0,21.6,4.5,,38.0,70.0,13.0,0.6,,,False,False,False,False,False,False,False,0.0
337,carne_bovina_capa_de_contra_file_sem_gordura_grelhada,carnes_e_derivados,239.0,35.1,10.0,,83.0,385.0,9.0,2.8,,,False,False,False,False,False,False,False,0.0
338,carne_bovina_charque_cozido,carnes_e_derivados,263.0,36.4,11.9,,1443.0,90.0,15.0,3.5,,,False,False,False,False,False,False,False,0.0
340,carne_bovina_contra_file_a_milanesa,carnes_e_derivados,352.0,20.6,24.0,0.4,77.0,271.0,15.0,2.9,,,False,False,False,False,False,False,False,12.2
342,carne_bovina_contra_file_de_costela_grelhado,carnes_e_derivados,275.0,29.9,16.3,,51.0,383.0,4.0,2.8,,,False,False,False,False,False,False,False,0.0
346,carne_bovina_contra_file_sem_gordura_grelhado,carnes_e_derivados,194.0,35.9,4.5,,58.0,386.0,5.0,2.4,,,False,False,False,False,False,False,False,0.0
347,carne_bovina_costela_assada,carnes_e_derivados,373.0,28.8,27.7,,92.0,270.0,28.0,2.2,,,False,False,False,False,False,False,False,0.0
349,carne_bovina_coxao_duro_sem_gordura_cozido,carnes_e_derivados,217.0,31.9,8.9,,41.0,252.0,4.0,1.7,,,False,False,False,False,False,False,False,0.0
351,carne_bovina_coxao_mole_sem_gordura_cozido,carnes_e_derivados,219.0,32.4,8.9,,44.0,239.0,4.0,2.6,,,False,False,False,False,False,False,False,0.0
353,carne_bovina_cupim_assado,carnes_e_derivados,330.0,28.6,23.0,,72.0,321.0,8.0,2.7,,,False,False,False,False,False,False,False,0.0
