id,food,category,kcal,protein_g,fat_g,fiber_g,sodium_mg,potassium_mg,calcium_mg,iron_mg,vitC_mg,gi,contains_gluten,contains_peanut,contains_shellfish,contains_milk,contains_lactose,vegan,vegetarian,carbs_g
52,pao_trigo_forma_integral,cereais_e_derivados,253.0,9.4,3.7,6.9,506.0,163.0,132.0,3.0,0.0,51.0,True,False,False,False,False,True,True,49.9
7,aveia_flocos_crua,cereais_e_derivados,394.0,13.9,8.5,9.1,5.0,336.0,48.0,4.4,1.4,55.0,True,False,False,False,False,True,True,66.6
48,pao_aveia_forma,cereais_e_derivados,343.0,12.4,5.7,6.0,606.0,210.0,109.0,4.7,0.0,55.0,True,False,False,False,False,True,True,59.6
13,biscoito_salgado_cream_cracker,cereais_e_derivados,432.0,10.1,14.4,2.5,854.0,181.0,20.0,2.2,,56.0,True,False,False,False,False,True,True,68.7
16,bolo_pronto_chocolate,cereais_e_derivados,410.0,6.2,18.5,1.4,283.0,212.0,75.0,2.1,0.0,67.0,True,False,False,False,False,True,True,54.7
17,bolo_pronto_coco,cereais_e_derivados,333.0,5.7,11.3,1.1,190.0,143.0,57.0,0.8,0.0,67.0,True,False,False,False,False,True,True,52.3
18,bolo_pronto_milho,cereais_e_derivados,311.0,4.8,12.4,0.7,134.0,118.0,83.0,0.7,0.0,67.0,True,False,False,False,False,True,True,45.1
43,milho_fuba_cru,cereais_e_derivados,353.0,7.2,1.9,4.7,0.0,168.0,3.0,0.9,0.0,68.0,True,False,False,False,False,True,True,78.9
53,pao_trigo_frances,cereais_e_derivados,300.0,8.0,3.1,2.3,648.0,142.0,16.0,1.0,,70.0,True,False,False,False,False,True,True,58.6
63,torrada_pao_frances,cereais_e_derivados,377.0,10.5,3.3,3.4,829.0,189.0,19.0,1.2,0.0,70.0,True,False,False,False,False,True,True,74.6
15,bolo_pronto_aipim,cereais_e_derivados,324.0,4.4,12.7,0.7,111.0,135.0,85.0,0.5,0.0,94.0,True,False,False,False,False,True,True,47.9
49,pao_de_soja,cereais_e_derivados,309.0,11.3,3.6,5.7,663.0,296.0,90.0,3.3,0.0,,True,False,False,False,False,True,True,56.5
50,pao_gluten_forma,cereais_e_derivados,253.0,12.0,2.7,2.5,22.0,65.0,156.0,5.7,0.0,,True,False,False,False,False,True,True,44.1
51,pao_milho_forma,cereais_e_derivados,292.0,8.3,3.1,4.3,507.0,89.0,78.0,3.0,0.0,,True,False,False,False,False,True,True,56.4
54,pao_trigo_sovado,cereais_e_derivados,311.0,8.4,2.8,2.4,431.0,91.0,52.0,2.3,0.0,,True,False,False,False,False,True,True,61.5
