id,food,category,kcal,protein_g,fat_g,fiber_g,sodium_mg,potassium_mg,calcium_mg,iron_mg,vitC_mg,gi,contains_gluten,contains_peanut,contains_shellfish,contains_milk,contains_lactose,vegan,vegetarian,carbs_g
197,goiaba_branca_com_casca_crua,frutas_e_derivados,52.0,0.9,0.5,6.3,0.0,220.0,5.0,0.2,99.2,31.0,False,False,False,False,False,True,True,12.4
200,goiaba_vermelha_com_casca_crua,frutas_e_derivados,54.0,1.1,0.4,6.2,0.0,198.0,4.0,0.2,80.6,31.0,False,False,False,False,False,True,True,13.0
178,banana_maca_crua,frutas_e_derivados,87.0,1.8,0.1,2.6,0.0,264.0,3.0,0.2,10.5,36.0,False,False,False,False,False,True,True,22.3
222,maca_fuji_com_casca_crua,frutas_e_derivados,56.0,0.3,0.0,1.3,0.0,75.0,2.0,0.1,2.4,36.0,False,False,False,False,False,True,True,15.2
243,pera_williams_crua,frutas_e_derivados,53.0,0.6,0.1,3.0,0.0,116.0,8.0,0.1,2.8,38.0,False,False,False,False,False,True,True,14.0
239,morango_cru,frutas_e_derivados,30.0,0.9,0.3,1.7,0.0,184.0,11.0,0.3,63.6,41.0,False,False,False,False,False,True,True,6.8
244,pessego_aurora_cru,frutas_e_derivados,36.0,0.8,0.0,1.4,0.0,124.0,3.0,0.2,3.3,42.0,False,False,False,False,False,True,True,9.3
208,laranja_baia_crua,frutas_e_derivados,45.0,1.0,0.1,1.1,0.0,174.0,35.0,0.1,56.9,43.0,False,False,False,False,False,True,True,11.5
210,laranja_da_terra_crua,frutas_e_derivados,51.0,1.1,0.2,4.0,1.0,173.0,51.0,0.1,34.7,43.0,False,False,False,False,False,True,True,12.9
212,laranja_lima_crua,frutas_e_derivados,46.0,1.1,0.1,1.8,1.0,130.0,31.0,0.1,43.5,43.0,False,False,False,False,False,True,True,11.5
214,laranja_pera_crua,frutas_e_derivados,37.0,1.0,0.1,0.8,0.0,163.0,22.0,0.1,53.7,43.0,False,False,False,False,False,True,True,8.9
216,laranja_valencia_crua,frutas_e_derivados,46.0,0.8,0.2,1.7,1.0,158.0,34.0,0.1,47.8,43.0,False,False,False,False,False,True,True,11.7
